sep=;
;Unit:C
;
24000732-COM4;2
Time stamp;24000732-Channel_01;24000732-Channel_02
 ;1;2
2026/04/10 15:44:39;22,9;-303,0
2026/04/10 15:44:40;23,0;-303,0
2026/04/10 15:44:41;23,0;-303,0
2026/04/10 15:44:42;24,2;-303,0
2026/04/10 15:44:43;30,5;-303,0
2026/04/10 15:44:44;37,4;-303,0
2026/04/10 15:44:45;44,3;-303,0
2026/04/10 15:44:46;51,2;-303,0
2026/04/10 15:44:47;58,1;-303,0
2026/04/10 15:44:48;65,0;-303,0
2026/04/10 15:44:49;72,1;-303,0
2026/04/10 15:44:50;79,0;-303,0
2026/04/10 15:44:51;85,9;-303,0
2026/04/10 15:44:52;92,7;-303,0
2026/04/10 15:44:53;87,1;-303,0
2026/04/10 15:44:54;87,6;-303,0
2026/04/10 15:44:55;85,3;-303,0
2026/04/10 15:44:56;84,0;-303,0
2026/04/10 15:44:57;84,0;-303,0
2026/04/10 15:44:58;83,6;-303,0
2026/04/10 15:44:59;83,0;-303,0
